ID,Name,Street,City,State,ZIP,Phone,Website,Google Place ID,Google Data Updated At,Failure Reason
43,A Whale of a Tale Children's Bookshoppe,24 Sagitta Way,Coto de Caza,CA,92679,(949) 854-8288,http://www.awhaleofatale.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
170,Babycake's Book Stack,,St. Paul,MN,55102,651-321-3436,https://www.facebook.com/BabycakesBookStack/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
205,Barn Owl Books (CA),527 Main Street,Quincy,CA,95971,,https://bookshop.org/shop/barnowlbooks,,,Could not find Google Place ID - bookshop may not exist in Google Places database
236,Beck's Books,,Minneapolis,MN,55408,612-424-8040,https://www.becksbooksmpls.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
267,Bev & Her Books LLC,,Wynnewood,PA,19096,610.983.8031,https://www.bevandherbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
269,Beyond This February,,Cowpens,SC,29330,864-485-9896,https://www.facebook.com/beyondthisfeb/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
384,BOOK CLUB On the Go,,East Windsor Hill,CT,06028,860-265-6077,https://www.bookclubct.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
412,Book RePort,,Port Washington,NY,11050,,https://www.instagram.com/bookreportny/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
546,Brainstorm Books,43 S. Main Street,Mullica Hill,NJ,08062,,https://www.facebook.com/BrainstormBooksNJ,,,Could not find Google Place ID - bookshop may not exist in Google Places database
626,Butterbean Books,,Suffolk,VA,23434,,https://butterbeanbooksva.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
646,Cafe Noir Bookshop,,Rock Island,IL,61201,,https://www.cafenoirbookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
770,Compass Collective,,Gainsville,FL,32608,,https://linktr.ee/compass.collective,,,Could not find Google Place ID - bookshop may not exist in Google Places database
